Project ID,Requirement ID,Class ID,Changed
Tika,TIKA-5
Tika,TIKA-7
Tika,TIKA-14
Tika,TIKA-6
Tika,TIKA-20
Tika,TIKA-36
Tika,TIKA-34
Tika,TIKA-40
Tika,TIKA-68
Tika,TIKA-67
Tika,TIKA-84
Tika,TIKA-97
Tika,TIKA-96
Tika,TIKA-127
Tika,TIKA-129
Tika,TIKA-139
Tika,TIKA-143
Tika,TIKA-99
Tika,TIKA-149
Tika,TIKA-150
Tika,TIKA-151
Tika,TIKA-155
Tika,TIKA-120
Tika,TIKA-54
Tika,TIKA-126
Tika,TIKA-159
Tika,TIKA-175
Tika,TIKA-182
Tika,TIKA-201
Tika,TIKA-152
Tika,TIKA-200
Tika,TIKA-228
Tika,TIKA-232
Tika,TIKA-235
Tika,TIKA-80
Tika,TIKA-216
Tika,TIKA-269
Tika,TIKA-295
Tika,TIKA-302
Tika,TIKA-275
Tika,TIKA-320
Tika,TIKA-337
Tika,TIKA-340
Tika,TIKA-328
Tika,TIKA-125
Tika,TIKA-362
Tika,TIKA-261
Tika,TIKA-400
Tika,TIKA-92
Tika,TIKA-421
Tika,TIKA-440
Tika,TIKA-361
Tika,TIKA-445
Tika,TIKA-449
Tika,TIKA-402
Tika,TIKA-420
Tika,TIKA-466
Tika,TIKA-470
Tika,TIKA-479
Tika,TIKA-512
Tika,TIKA-519
Tika,TIKA-169
Tika,TIKA-399
Tika,TIKA-503
Tika,TIKA-416
Tika,TIKA-615
Tika,TIKA-461
Tika,TIKA-213
Tika,TIKA-160
Tika,TIKA-98
Tika,TIKA-95
Tika,TIKA-168
Tika,TIKA-153
Tika,TIKA-245
Tika,TIKA-447
Tika,TIKA-546
Tika,TIKA-433
Tika,TIKA-509
Tika,TIKA-582
Tika,TIKA-761
Tika,TIKA-612
Tika,TIKA-785
Tika,TIKA-789
Tika,TIKA-804
Tika,TIKA-86
Tika,TIKA-637
Tika,TIKA-593
Tika,TIKA-901
Tika,TIKA-861
Tika,TIKA-931
Tika,TIKA-943
Tika,TIKA-876
Tika,TIKA-507
Tika,TIKA-847
Tika,TIKA-513
Tika,TIKA-458
Tika,TIKA-970
Tika,TIKA-1013
Tika,TIKA-1012
Tika,TIKA-1014
Tika,TIKA-1136
Tika,TIKA-1150
Tika,TIKA-623
Tika,TIKA-1268
Tika,TIKA-872
Tika,TIKA-1320
Tika,TIKA-1319
Tika,TIKA-1274
Tika,TIKA-1381
Tika,TIKA-147
Tika,TIKA-1418
Tika,TIKA-93
Tika,TIKA-1433
Tika,TIKA-605
Tika,TIKA-1494
Tika,TIKA-1423
Tika,TIKA-1557
Tika,TIKA-1558
Tika,TIKA-1483
Tika,TIKA-272
Tika,TIKA-669
Tika,TIKA-807
Tika,TIKA-1572
Tika,TIKA-942
Tika,TIKA-1586
Tika,TIKA-1580
Tika,TIKA-1511
Tika,TIKA-1532
Tika,TIKA-443
Tika,TIKA-1610
Tika,TIKA-1603
Tika,TIKA-1614
Tika,TIKA-1639
Tika,TIKA-1585
Tika,TIKA-756
Tika,TIKA-1602
Tika,TIKA-1683
Tika,TIKA-1699
Tika,TIKA-1075
Tika,TIKA-492
Tika,TIKA-1876
Tika,TIKA-1940
Tika,TIKA-1696
Tika,TIKA-1913
Tika,TIKA-1894
Tika,TIKA-1993
Tika,TIKA-1343
Tika,TIKA-1321
Tika,TIKA-2232
Tika,TIKA-2016
Tika,TIKA-1106
Tika,TIKA-2332
Tika,TIKA-696
Tika,TIKA-1217
Tika,TIKA-1478
Tika,TIKA-1479
Tika,TIKA-90
Tika,TIKA-627
Tika,TIKA-94
Tika,TIKA-768
Tika,TIKA-849
Tika,TIKA-858
Tika,TIKA-917
Tika,TIKA-1180
Tika,TIKA-1382
Tika,TIKA-944
Tika,TIKA-682
Tika,TIKA-762
Tika,TIKA-773
Tika,TIKA-1691
Tika,TIKA-491
Tika,TIKA-1731
Tika,TIKA-1727
Tika,TIKA-1843
Tika,TIKA-856
Tika,TIKA-493
Tika,TIKA-1962
Tika,TIKA-1984
Tika,TIKA-2000
Tika,TIKA-2084
Tika,TIKA-2233
Tika,TIKA-1518
Tika,TIKA-1697
Tika,TIKA-1598
Tika,TIKA-1220
Tika,TIKA-1609
Tika,TIKA-774
Tika,TIKA-819
Tika,TIKA-776
Tika,TIKA-980
Tika,TIKA-1616
Tika,TIKA-1540
Tika,TIKA-1328
Tika,TIKA-1724
Tika,TIKA-1674
Tika,TIKA-2053
Tika,TIKA-1988
